File#,Incident_Date,UCR,Inc_Address
15-000005,1/1/2015 0:44,"ROBBERY, STRONG ARM, STREET",NEW ST & OCEAN AVE
15-000004,1/1/2015 0:45,VANDALISM M.V.,ARMSTRONG AVE & OCEAN AVE
15-000007,1/1/2015 0:45,LARCENY OVER 200 FROM AUTOS,CARLTON AVE & SUMMIT AVE
15-000009,1/1/2015 1:45,"ROBBERY, STRONG ARM, STREET",Grant & MLK Drive
15-000034,1/1/2015 2:00,LARCENY 50 TO 200 OTHER,103A ARLINGTON AVENUE
15-000045,1/1/2015 2:30,LARCENY 50 TO 200 PURSE SNATCHING,COMMUNIPAW AVE & HALLADAY ST
15-000025,1/1/2015 3:00,SIMPLE ASSAULT,31 Fulton Ave
15-000016,1/1/2015 3:34,VANDALISM M.V.,116 FOWLER AVE
15-000017,1/1/2015 3:34,VANDALISM M.V.,114 FOWLER AVE
15-000018,1/1/2015 3:34,VANDALISM M.V.,112 FOWLER AVE
15-000028,1/1/2015 3:34,VANDALISM M.V.,112 FOWLER AVE
15-000019,1/1/2015 3:55,"BURGLARY, NON-RES FORCIBL ENT, DAY",68 BERGEN AVE
15-000022,1/1/2015 4:22,ASSAULT W/KNIFE OR CUTTING INST,59 OAK ST 8 Floor: 3
15-000020,1/1/2015 4:47,SALE/MANU MARIJUANA/HASHISH,17 DALES AVE
15-000057,1/1/2015 6:43,VANDALISM M.V.,127 VAN WAGENEN AVE 401 Floor: %
15-000038,1/1/2015 11:50,VANDALISM M.V.,71 MCADOO AVE
15-000046,1/1/2015 15:00,VANDALISM RESIDENCE,124 HARRISON AVE
15-000043,1/1/2015 15:22,VANDALISM M.V.,35 Wright street
15-009308,1/1/2015 15:53,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,45 St. Paul's Ave. 2L
15-000063,1/1/2015 19:55,VANDALISM RESIDENCE,3710 KENNEDY BLVD Floor: 1
15-000064,1/1/2015 20:17,VANDALISM M.V.,700 NEWARK AVE
15-000065,1/1/2015 20:35,MURDER FIREARM,615 GROVE ST RM 6 Floor: 2
15-000304,1/1/2015 21:00,LARCENY OVER 200 OTHER,122 WADE ST 3
15-001564,1/1/2015 21:00,LARCENY OVER 200 FROM BUILDING,30 MALL DR W
15-000070,1/1/2015 22:33,ASSAULT WITH A FIREARM,11 WOODLAWN AVE
15-000073,1/1/2015 23:00,"ROBBERY, STRONG ARM, STREET",ORIENT AVE & MARTIN LUTHER KING DR
15-000072,1/1/2015 23:39,"BURGLARY, RESID. FORCIBLE ENT, NIGHT",GARFIELD AVE & UNION ST
15-000077,1/2/2015 4:48,"BURGLARY, RESIDENT, UNLAW ENT, DAY",21 FULTON AVE Floor: 2
15-000090,1/2/2015 11:07,"BURGLARY, RESIDENT, UNLAW ENT, DAY",245 LIBERTY AVE Floor: 2
15-000107,1/2/2015 14:56,VANDALISM M.V.,101 LINDEN AVE
15-000595,1/2/2015 15:00,LARCENY OVER 200 OTHER,34 WEST HAMILTON PL
15-000115,1/2/2015 17:00,"BURGLARY, RESID. ATT FORC ENT, DAY",56 GIFFORD AVE 1R Floor: 1
15-000125,1/2/2015 20:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",426 PACIFIC AVE Floor: 1
15-000074,1/2/2015 23:00,VANDALISM M.V.,33 BOSTWICK AVE
15-000131,1/3/2015 0:01,SIMPLE ASSAULT,389 BERGEN AVE 1A
15-000133,1/3/2015 0:10,SIMPLE ASSAULT,MONTICELLO (MONTICELLO AVE) & CLINTON AVE
15-000227,1/3/2015 0:30,SIMPLE ASSAULT,6050 Harrison Pl
15-000366,1/3/2015 0:45,LARCENY OVER 200 OTHER,327 Second Street
15-000143,1/3/2015 7:29,SIMPLE ASSAULT,ORIENT AVE & MARTIN LUTHER KING DR
15-000150,1/3/2015 10:19,LARCENY OVER 200 BIKES,346 5TH ST
15-000151,1/3/2015 10:40,VANDALISM M.V.,Brooks Pl & Kennedy Blvd
15-000154,1/3/2015 12:18,VANDALISM RESIDENCE,180 Stegman St.
15-000163,1/3/2015 13:00,LARCENY 50 TO 200 FROM AUTOS,3060 KENNEDY BLVD
15-000157,1/3/2015 13:09,WEAPONS OFFENSE FIREARM,53 BOSTWICK AVE
15-004879,1/3/2015 17:00,LARCENY 50 TO 200 OTHER,191 BERGEN AVE
15-000179,1/3/2015 17:18,"ROBBERY, FIREARM, BUSINESS",2853 KENNEDY BLVD
15-000181,1/3/2015 17:49,LARCENY OVER 200 FROM AUTOS,VROOM ST & TUERS AVE
15-000184,1/3/2015 17:49,VANDALISM M.V.,VROOM ST & TUERS AVE
15-000261,1/3/2015 18:00,SIMPLE ASSAULT,MALLERY AVE (MALLORY AVE) & VIRGINIA AVE
15-000186,1/3/2015 18:16,"BURGLARY, RESID. ATT FORC ENT, DAY",354 Bergen Ave  Apt 15
15-003567,1/3/2015 19:00,LARCENY OVER 200 OTHER,47 HIGH ST BSMT
15-000190,1/3/2015 19:20,SIMPLE ASSAULT,30 MALL DR W
15-000195,1/3/2015 22:31,VANDALISM M.V.,1815 KENNEDY BLVD
15-000202,1/4/2015 1:23,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",354 1ST ST BSMT
15-000205,1/4/2015 1:30,"ROBBERY, KNIFE, STREET",2039 JFK Blvd
15-000206,1/4/2015 2:05,"ROBBERY, FIREARM, RESIDENTIAL",452 2ND ST Floor: 1
15-000217,1/4/2015 4:00,LARCENY 50 TO 200 FROM AUTOS,610 GARFIELD AVE
15-000233,1/4/2015 11:00,WEAPONS OFFENSE KNIFE,49 PEARSALL AVE
15-000224,1/4/2015 12:00,VANDALISM M.V.,BOWERS ST & OGDEN AVE
15-000214,1/4/2015 12:12,VANDALISM OTHER,2760 KENNEDY BLVD
15-000230,1/4/2015 15:00,LARCENY OVER 200 FROM AUTOS,879 BERGEN AVE
15-000239,1/4/2015 17:51,SIMPLE ASSAULT,56 ATLANTIC ST 2 Floor: 2
15-000240,1/4/2015 18:06,LARCENY 50 TO 200 SHOPLIFTING,30 MALL DR W
15-000242,1/4/2015 18:26,LARCENY OVER 200 SHOPLIFTING,100 14TH ST
15-000375,1/4/2015 20:00,SIMPLE ASSAULT,201 MONTICELLO AVE
15-000253,1/5/2015 0:48,LARCENY OVER 200 OTHER,97 WILKINSON AVE Floor: 1
15-000255,1/5/2015 4:00,SIMPLE ASSAULT,Central Ave/Bowers st
15-000609,1/5/2015 7:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,33 HUDSON ST
15-000264,1/5/2015 7:14,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",143 ROMAINE AVE
15-000268,1/5/2015 8:37,"ARSON, SINGLE RESD. INHABITED",157 BAYVIEW AVE
15-000279,1/5/2015 9:00,LARCENY OVER 200 FROM BUILDING,105 WILKINSON AVE Floor: 1
15-000273,1/5/2015 9:03,"BURGLARY, NON-RES, ATT FORC ENT, UNKNOWN",1815 Kennedy Boulevard
15-000301,1/5/2015 12:15,LARCENY OVER 200 FROM BUILDING,2844 KENNEDY BLVD
15-000290,1/5/2015 13:59,ASSAULT WITH OTHER WEAPON,211 CLERK ST. BASEMENT
15-000293,1/5/2015 14:45,VANDALISM M.V.,BERGEN AVE & CLAREMONT AVE
15-000310,1/5/2015 15:10,"ROBBERY, STRONG ARM, STREET",VROOM ST & SUMMIT AVE
15-000368,1/5/2015 16:00,VANDALISM RESIDENCE,74 Fremont St  Apt 510
15-000311,1/5/2015 16:52,LARCENY OVER 200 OTHER,517 COMMUNIPAW AVE
15-000357,1/5/2015 16:59,SIMPLE ASSAULT,60 CRESCENT AVE
15-000341,1/5/2015 18:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",16 IVY PL
15-000318,1/5/2015 18:58,"ROBBERY, FIREARM, RESIDENTIAL",226 Old Bergen
15-000320,1/5/2015 19:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,47 Lineau Pl.
15-000322,1/5/2015 20:08,LARCENY OVER 200 FROM AUTOS,100 Newkirk Street
15-000339,1/5/2015 20:30,VANDALISM M.V.,22 Eastern Parkway
15-000336,1/5/2015 20:48,VANDALISM RESIDENCE,197 WILKINSON AVE Floor: 1
15-000421,1/5/2015 23:59,LARCENY UNDER 50 OTHER,9.5 GRANT AVE
15-000347,1/6/2015 0:30,SIMPLE ASSAULT,109 WAYNE ST 4
15-000348,1/6/2015 6:21,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,18 KENSINGTON AVE
15-010421,1/6/2015 9:00,LARCENY OVER 200 FROM AUTOS,377 JERSEY AVE
15-000362,1/6/2015 10:00,SIMPLE ASSAULT,308 VAN WINKLE AVE 2 Floor: 2
15-000387,1/6/2015 12:30,ASSAULT W/KNIFE OR CUTTING INST,226 HANCOCK AVE
